time,a,b,c,d,e
2019-10-15 15:00:00,5.4026713,0.20118771,0.033168305,0.05186641,0.90448225
2019-10-15 18:00:00,4.920636,0.19289745,0.03222365,0.060329266,0.96594286
2019-10-15 21:00:00,5.5382037,0.18770139,0.032002512,0.061315376,0.98044294
2019-10-16 00:00:00,6.3018875,0.19185941,0.032523517,0.0674387,0.9749403
2019-10-16 03:00:00,6.2548447,0.21176152,0.039190378,0.07777742,0.92435086
2019-10-16 06:00:00,6.7651286,0.25845027,0.042688426,0.077998824,0.97630566
2019-10-16 09:00:00,7.517229,0.27816883,0.0456628,0.0834965,1.243061
2019-10-16 12:00:00,7.9825306,0.2684877,0.04600066,0.098041646,1.3444883
2019-10-16 15:00:00,6.9865766,0.20670353,0.050890245,0.15785556,1.1517397
2019-10-16 18:00:00,5.7626715,0.14222103,0.043159597,0.19458055,0.6005747
2019-10-16 21:00:00,4.5269327,0.12769164,0.03929719,0.28305706,0.44068956
2019-10-17 00:00:00,4.578528,0.27187496,0.035266187,0.24506505,0.6098472
2019-10-17 03:00:00,4.3154926,0.3234904,0.031807948,0.25599203,0.43779054
2019-10-17 06:00:00,4.9269423,0.37549603,0.032618824,0.1932134,0.45905292
2019-10-17 09:00:00,5.428549,0.5911949,0.028878607,0.12928933,0.6165031
2019-10-17 12:00:00,5.8345537,0.6724808,0.025565434,0.111663565,0.6449546
2019-10-17 15:00:00,5.985866,0.6109673,0.025890186,0.111317575,0.61476916
2019-10-17 18:00:00,5.186855,0.44202226,0.026328651,0.111118406,0.6042842
2019-10-17 21:00:00,4.316614,0.2929357,0.026039857,0.11996342,0.767917
2019-10-18 00:00:00,3.6756804,0.21232863,0.03133631,0.16725944,0.7226741
2019-10-18 03:00:00,3.4232576,0.17534769,0.046064273,0.20709026,0.5513133
2019-10-18 06:00:00,3.3690267,0.23048681,0.048699178,0.20922928,0.47894144
2019-10-18 09:00:00,4.0569687,0.33228704,0.038746543,0.15787013,0.50843924
2019-10-18 12:00:00,3.768991,0.29673755,0.027472608,0.105277404,0.7098348
2019-10-18 15:00:00,3.722305,0.23323491,0.02705641,0.10807172,0.6681412
2019-10-18 18:00:00,3.5066662,0.17315361,0.031256896,0.13022919,0.54880774
2019-10-18 21:00:00,2.6431024,0.14122112,0.044957984,0.2504201,0.36511993
2019-10-19 00:00:00,2.9233224,0.116203204,0.04985563,0.24585716,0.30250782
2019-10-19 03:00:00,3.123055,0.122512095,0.16401353,0.19248988,0.31693873
2019-10-19 06:00:00,3.631609,0.1203139,0.19807239,0.19723423,0.29840544
2019-10-19 09:00:00,5.120484,0.10848282,0.28041208,0.21821015,0.3720072
2019-10-19 12:00:00,5.460982,0.11627889,0.3220336,0.051936578,0.19958779
2019-10-19 15:00:00,5.7442207,0.120877124,0.2937788,0.041922618,0.19798347
2019-10-19 18:00:00,5.681665,0.1285859,0.2747431,0.044414736,0.21126764
2019-10-19 21:00:00,7.156014,0.15942606,0.24224035,0.059014134,0.3030057
2019-10-20 00:00:00,8.295635,0.15952356,0.1690413,0.05978177,0.35708234
2019-10-20 03:00:00,8.228855,0.15197654,0.1969788,0.05842572,0.343491
2019-10-20 06:00:00,7.348936,0.12216956,0.45559704,0.068397366,0.21414214
2019-10-20 09:00:00,6.5157037,0.11502407,0.34475672,0.04419975,0.1728777
2019-10-20 12:00:00,7.9792814,0.14798906,0.28576946,0.09653689,0.20600064
2019-10-20 15:00:00,5.8925695,0.35863966,1.1277945,0.0217951,0.061979685
2019-10-20 18:00:00,2.4405224,0.2550467,0.90460414,0.04071054,0.12537348
2019-10-20 21:00:00,1.3617787,0.2250613,1.1173216,0.029917916,0.10769636
2019-10-21 00:00:00,1.4522147,0.18934558,1.10596,0.022662843,0.09617104
2019-10-21 03:00:00,1.6660566,0.2036755,1.0106401,0.023577882,0.095804624
2019-10-21 06:00:00,1.4815891,0.20570575,0.834177,0.024275538,0.08387588
2019-10-21 09:00:00,1.4220426,0.1990352,0.7582273,0.022101931,0.0719785
2019-10-21 12:00:00,1.8417927,0.17162965,0.82146376,0.022577472,0.071422845
2019-10-21 15:00:00,2.8195918,0.17322926,0.733901,0.03514367,0.07657202
2019-10-21 18:00:00,3.3195105,0.15299729,0.5359578,0.05236151,0.098888166
2019-10-21 21:00:00,2.4974449,0.1868621,0.6857039,0.030573703,0.06565863
2019-10-22 00:00:00,2.6536226,0.16486444,0.8542495,0.026969912,0.06622976
2019-10-22 03:00:00,2.2219293,0.13196765,0.869272,0.023571143,0.06875044
2019-10-22 06:00:00,1.83484,0.12929231,0.74343234,0.022902533,0.06253073
2019-10-22 09:00:00,2.3424263,0.1299903,0.611285,0.040375844,0.06643814
2019-10-22 12:00:00,5.136771,0.09305521,0.402212,0.14038278,0.084356934
2019-10-22 15:00:00,6.505189,0.0769703,0.3225505,0.14967741,0.083020486
2019-10-22 18:00:00,5.22609,0.09817867,0.4227428,0.07829688,0.082532115
2019-10-22 21:00:00,3.544643,0.11364063,0.49244475,0.05466219,0.070826374
2019-10-23 00:00:00,3.9739373,0.10641852,0.40772566,0.05158731,0.05792767
2019-10-23 03:00:00,4.915995,0.08526626,0.34502688,0.12709706,0.068894506
2019-10-23 06:00:00,6.056136,0.076420866,0.26111728,0.19231448,0.08346984
2019-10-23 09:00:00,5.750866,0.07061882,0.22446465,0.26733765,0.1070978
2019-10-23 12:00:00,8.264061,0.05015402,0.0657367,0.55725455,0.27911675
2019-10-23 15:00:00,6.6249475,0.039617646,0.038671922,0.54754245,0.5252772
2019-10-23 18:00:00,6.0862346,0.035456687,0.036904134,0.5056067,0.42843875
2019-10-23 21:00:00,5.816719,0.04058078,0.058871433,0.4776514,0.38282013
2019-10-24 00:00:00,7.0972443,0.050700255,0.1266238,0.4586273,0.16727412
2019-10-24 03:00:00,5.9430056,0.050409798,0.1403246,0.4113582,0.19905725
2019-10-24 06:00:00,4.447202,0.04805848,0.12626998,0.42353278,0.3083661
2019-10-24 09:00:00,3.3183546,0.061503302,0.18820232,0.34343857,0.24806024
2019-10-24 12:00:00,2.548747,0.0634311,0.19491626,0.29345065,0.15519036
2019-10-24 15:00:00,2.214172,0.06504043,0.19199203,0.28523678,0.17467211
2019-10-24 18:00:00,2.7337928,0.06257283,0.18466496,0.328078,0.18550493
2019-10-24 21:00:00,2.441897,0.06670198,0.22322768,0.40696928,0.1417399
2019-10-25 00:00:00,2.8212204,0.07445856,0.22390833,0.32803878,0.14224263
2019-10-25 03:00:00,3.0724952,0.0756056,0.21487509,0.27884978,0.14011025
2019-10-25 06:00:00,3.4665494,0.07418544,0.20059122,0.24138784,0.13906787
2019-10-25 09:00:00,3.150087,0.072646014,0.21018293,0.32855278,0.13079482
2019-10-25 12:00:00,3.2424052,0.07035873,0.19560479,0.38144696,0.13883074
2019-10-25 15:00:00,3.8856504,0.065385014,0.17438775,0.35797432,0.15600611
2019-10-25 18:00:00,4.6506896,0.054980736,0.15144943,0.33526638,0.166699
2019-10-25 21:00:00,5.225928,0.047531106,0.12314543,0.38107458,0.17568189
2019-10-26 00:00:00,5.5433574,0.043891374,0.12074606,0.39454314,0.17754802
2019-10-26 03:00:00,5.9819145,0.046166074,0.11905303,0.34969988,0.16870017
2019-10-26 06:00:00,5.9166846,0.045311473,0.14028032,0.30135134,0.16184744
2019-10-26 09:00:00,2.667381,0.052068803,0.27040648,0.39280757,0.0863828
2019-10-26 12:00:00,1.8121825,0.059271786,0.2213367,0.4361075,0.084267445
2019-10-26 15:00:00,2.4967096,0.062005028,0.19942524,0.4136061,0.110265605
2019-10-26 18:00:00,3.13239,0.04344265,0.20216715,0.2475718,0.11307748
2019-10-26 21:00:00,2.9226115,0.03384714,0.16970998,0.29387453,0.15410617
2019-10-27 00:00:00,3.3967762,0.026661834,0.055313796,0.41208625,0.22070861
2019-10-27 03:00:00,3.56816,0.02309918,0.028740441,0.4420499,0.20980671
2019-10-27 06:00:00,3.1376839,0.020922037,0.026520038,0.3809769,0.16758628
2019-10-27 09:00:00,2.7425349,0.019556217,0.02385518,0.34445482,0.1532644
2019-10-27 12:00:00,3.1173244,0.021075673,0.024634523,0.276872,0.13647598
2019-10-27 15:00:00,3.374763,0.028279644,0.029863838,0.2270017,0.16552907
2019-10-27 18:00:00,4.272422,0.03570011,0.035822008,0.24433158,0.19421557
2019-10-27 21:00:00,5.043791,0.034529094,0.037436485,0.24463446,0.19210733
2019-10-28 00:00:00,5.99963,0.035894625,0.036435664,0.25479975,0.2197611
2019-10-28 03:00:00,7.418429,0.03162162,0.045219727,0.22558329,0.20172897
2019-10-28 06:00:00,5.9748516,0.025039716,0.028894603,0.3145685,0.18912923
2019-10-28 09:00:00,5.2635202,0.022583377,0.024678804,0.2578471,0.15129632
2019-10-28 12:00:00,5.8930655,0.028677624,0.03251847,0.25362846,0.21077658
2019-10-28 15:00:00,6.400413,0.032436356,0.035862677,0.24706362,0.38056597
2019-10-28 18:00:00,5.8397474,0.034921426,0.03715464,0.19038327,0.20837316
2019-10-28 21:00:00,4.026185,0.03693535,0.08504983,0.18092054,0.12203537
2019-10-29 00:00:00,5.5284853,0.035561576,0.060330927,0.21846049,0.18725939
2019-10-29 03:00:00,7.8769174,0.035665378,0.055369586,0.23797478,0.34801635
2019-10-29 06:00:00,8.809978,0.04273469,0.13266024,0.33474475,0.20027491
2019-10-29 09:00:00,3.8445382,0.052638892,0.5045813,0.33543822,0.094522245
2019-10-29 12:00:00,2.4496064,0.045448177,0.7008287,0.17843328,0.06367282
2019-10-29 15:00:00,1.8640059,0.04324412,0.7057299,0.13469306,0.05254504
2019-10-29 18:00:00,1.7875599,0.04297299,0.55715644,0.25575602,0.053035285
2019-10-29 21:00:00,1.9904935,0.0516306,0.19597523,0.3971524,0.07360423
2019-10-30 00:00:00,2.4276571,0.043642838,0.0646583,0.19336925,0.30586135
2019-10-30 03:00:00,3.3078609,0.034125663,0.039787482,0.15708801,0.37689462
2019-10-30 06:00:00,4.1089325,0.030562472,0.043098077,0.18800311,0.283125
2019-10-30 09:00:00,3.470527,0.042383455,0.055320777,0.13392203,0.32796922
