time,a,b,c,d,e,f,g,h,i
2019-10-11 00:00:00,0.6114327,2.0887918,0.09068232,0.116413124,0.021095848,0.0196264,0.9721205,0.2011629,0.024325786
2019-10-11 03:00:00,0.7441236,1.993062,0.08923063,0.12813374,0.027422026,0.022516686,0.87128097,0.23499903,0.025435714
2019-10-11 06:00:00,0.5420425,1.6573297,0.065745294,0.13165349,0.01735542,0.016877614,0.7285664,0.26976764,0.018067293
2019-10-11 09:00:00,0.6090559,1.1435622,0.06263912,0.11009905,0.021421995,0.01542654,0.7158604,0.33913007,0.021288913
2019-10-11 12:00:00,0.5974207,1.6209518,0.20660302,0.13183592,0.01424167,0.016263515,0.88073206,0.22390933,0.015930962
2019-10-11 15:00:00,0.6967583,2.0807357,0.40580305,0.15218474,0.015490059,0.02450122,1.0587726,0.2050294,0.01651121
2019-10-11 18:00:00,0.4043571,2.5124328,0.9990852,0.15182215,0.015738644,0.022495335,1.1439675,0.17623611,0.01631647
2019-10-11 21:00:00,0.27169183,1.6316171,1.2897278,0.14168099,0.017840013,0.019190658,0.96943,0.1990394,0.016689586
2019-10-12 00:00:00,0.40287682,0.9650487,1.1686578,0.13361853,0.013342047,0.016287865,0.9308426,0.21762964,0.015892325
2019-10-12 03:00:00,0.894214,0.59130746,1.2303044,0.13461791,0.015657522,0.017454868,0.9023114,0.19124866,0.01639729
2019-10-12 06:00:00,1.2042606,0.44255483,1.2486172,0.16574049,0.016788784,0.018396366,0.7988436,0.18467067,0.01619836
2019-10-12 09:00:00,1.2529403,0.5122865,1.0955284,0.16040607,0.016199963,0.019482624,0.81472677,0.1735473,0.016328523
2019-10-12 12:00:00,1.3154471,0.7567238,0.7826922,0.13369271,0.014118882,0.01377975,0.79237723,0.20258693,0.015943173
2019-10-12 15:00:00,1.7393172,1.2979357,0.21588598,0.13425931,0.014200968,0.017628469,0.8848779,0.18784301,0.015623754
2019-10-12 18:00:00,1.5708646,0.8883939,0.02655654,0.22730716,0.011071242,0.013773846,0.7911224,0.15208557,0.016216682
2019-10-12 21:00:00,2.4484577,0.71992594,0.050040044,0.37865654,0.018638361,0.021470463,0.81818706,0.4469274,0.016375607
2019-10-13 00:00:00,2.514637,0.47369117,0.08334274,0.19876686,0.026597193,0.027747517,0.5166103,0.6842257,0.020325735
2019-10-13 03:00:00,2.3037577,0.45624757,0.054911874,0.24714221,0.021837719,0.025094293,0.64565,0.52989864,0.015687656
2019-10-13 06:00:00,1.7265052,0.47297567,0.049552813,0.25735348,0.02059729,0.021978771,0.78238434,0.63118476,0.015863929
2019-10-13 09:00:00,2.9188747,0.5155346,0.05332515,0.19863944,0.0154442545,0.015773661,1.0664529,0.25333732,0.013724741
2019-10-13 12:00:00,3.029152,0.47987643,0.083643794,0.19818391,0.017122399,0.016986992,0.9249921,0.29742312,0.014680389
2019-10-13 15:00:00,1.580685,0.35693446,0.08196877,0.16805686,0.027387774,0.02527121,0.5627003,0.55337524,0.01910108
2019-10-13 18:00:00,1.4092041,0.37320065,0.095346384,0.1567147,0.03198896,0.02988069,0.3797811,0.7165512,0.022174014
2019-10-13 21:00:00,1.4443527,0.37898895,0.10182511,0.17169204,0.030490141,0.0289197,0.3698751,0.766917,0.024135737
