time,a,b,c,d,e,f
2019-10-11 18:00:00,3.8715377,0.19289322,0.03050031,0.027585851,1.2575022,0.06243153
2019-10-11 21:00:00,3.13269,0.1842613,0.037330985,0.024569057,1.1205729,0.057480894
2019-10-12 00:00:00,2.4952605,0.16741444,0.027958276,0.020782543,1.086062,0.06671956
2019-10-12 03:00:00,2.6595032,0.17927867,0.03155645,0.02250745,1.0380399,0.06262741
2019-10-12 06:00:00,2.8195155,0.2250758,0.035361454,0.029021928,0.9300749,0.057023905
2019-10-12 09:00:00,2.7832463,0.21425131,0.03499961,0.03697169,0.9309275,0.061049793
2019-10-12 12:00:00,2.8046362,0.17119756,0.030190941,0.018785972,0.9416761,0.060875308
2019-10-12 15:00:00,3.2061124,0.17626244,0.028564088,0.022357484,1.013619,0.060654685
2019-10-12 18:00:00,2.3731256,0.35538694,0.021953667,0.018519277,0.8565128,0.07189347
2019-10-12 21:00:00,2.94715,0.64271325,0.038221784,0.060332313,1.0907949,0.13946573
2019-10-13 00:00:00,2.9242232,0.29573616,0.057955734,0.0950716,0.9542553,0.218702
2019-10-13 03:00:00,2.6438615,0.38960427,0.04483716,0.06429881,1.0105159,0.14710997
2019-10-13 06:00:00,2.070887,0.39162025,0.043114986,0.06717873,1.2757047,0.1298904
2019-10-13 09:00:00,3.344953,0.31591046,0.03221775,0.034425553,1.2518972,0.071703285
2019-10-13 12:00:00,3.469391,0.30743426,0.036211323,0.042390626,1.0943723,0.11226261
2019-10-13 15:00:00,2.0117877,0.23444048,0.056780767,0.08209433,0.69474053,0.29563645
2019-10-13 18:00:00,1.8835462,0.22388114,0.069358125,0.11307413,0.5243292,0.40065312
2019-10-13 21:00:00,1.9588426,0.25319326,0.06784394,0.11100562,0.5036531,0.4226579
2019-10-14 00:00:00,2.0609963,0.24090849,0.05894777,0.10796259,0.7219932,0.24183138
2019-10-14 03:00:00,2.493912,0.19760108,0.044851456,0.06808899,1.0992732,0.14297135
2019-10-14 06:00:00,2.0639067,0.18050016,0.037037473,0.07678117,0.619552,0.119811885
2019-10-14 09:00:00,2.0319014,0.17624436,0.03207787,0.029578874,0.7505252,0.06791445
2019-10-14 12:00:00,2.9792826,0.22686,0.03758781,0.021311512,0.70355463,0.04091198
2019-10-14 15:00:00,3.2703774,0.20825864,0.030057514,0.017995328,0.6646768,0.043474983
2019-10-14 18:00:00,3.3895822,0.19467561,0.028518867,0.022778649,0.6961861,0.058272738
2019-10-14 21:00:00,4.00609,0.22272617,0.031925607,0.025392035,0.7230279,0.053047854
2019-10-15 00:00:00,4.160092,0.24574189,0.033329554,0.024592925,0.734006,0.04812993
2019-10-15 03:00:00,4.515742,0.2431598,0.034273043,0.02420836,0.7852753,0.043794934
2019-10-15 06:00:00,5.0320144,0.23328343,0.034601927,0.021180985,0.87058836,0.042663753
2019-10-15 09:00:00,5.5317187,0.22701022,0.03438069,0.020366492,0.89765763,0.04311701
2019-10-15 12:00:00,5.5884414,0.21722227,0.033296634,0.023181148,0.8669882,0.04877457
2019-10-15 15:00:00,5.4022655,0.20275013,0.030697867,0.031613525,0.871124,0.054924905
2019-10-15 18:00:00,4.9194427,0.19421421,0.030747218,0.030880706,0.93081856,0.06592599
2019-10-15 21:00:00,5.5400586,0.19003783,0.030533325,0.02876446,0.9421092,0.06816249
2019-10-16 00:00:00,6.3004146,0.19362162,0.030879842,0.030009357,0.9354227,0.078301534
2019-10-16 03:00:00,6.2467337,0.20960318,0.03557573,0.039797116,0.8807532,0.095461786
2019-10-16 06:00:00,6.75123,0.2542894,0.037492312,0.04479676,0.92816204,0.10460166
2019-10-16 09:00:00,7.497338,0.27360237,0.04004996,0.048852142,1.1918646,0.115911484
2019-10-16 12:00:00,7.9593387,0.2631462,0.040871467,0.051242944,1.2922045,0.13274512
2019-10-16 15:00:00,6.95786,0.19900538,0.04286249,0.059674338,1.1063082,0.1880554
2019-10-16 18:00:00,5.7318916,0.13371602,0.03465647,0.052713618,0.57742715,0.21280283
2019-10-16 21:00:00,4.502565,0.120483205,0.030341303,0.04661229,0.4236217,0.2940444
2019-10-17 00:00:00,4.558218,0.26718557,0.028926052,0.04227492,0.58600897,0.25796774
2019-10-17 03:00:00,4.2988863,0.3196666,0.02554736,0.03639499,0.41948324,0.2645948
2019-10-17 06:00:00,4.9185762,0.37127355,0.025040314,0.038075842,0.4339877,0.20036995
2019-10-17 09:00:00,5.442548,0.5890913,0.021512123,0.033058856,0.57407314,0.13413134
2019-10-17 12:00:00,5.8555107,0.6713561,0.0189864,0.028606681,0.5993979,0.11536022
2019-10-17 15:00:00,6.002243,0.61016756,0.019142115,0.02893189,0.573076,0.11524979
2019-10-17 18:00:00,5.1863704,0.44199872,0.019563885,0.029559756,0.57703996,0.11607583
2019-10-17 21:00:00,4.3113003,0.29892334,0.019860664,0.027339036,0.74162525,0.12442174
2019-10-18 00:00:00,3.6616294,0.21726292,0.027013425,0.032136146,0.70071495,0.17052181
2019-10-18 03:00:00,3.370221,0.17314065,0.06923253,0.047828544,0.53547347,0.20717667
2019-10-18 06:00:00,3.300035,0.22856519,0.097701356,0.04485215,0.4621325,0.20309713
2019-10-18 09:00:00,4.0254765,0.33046082,0.060157053,0.036658067,0.48687845,0.15468085
2019-10-18 12:00:00,3.7583318,0.3063274,0.026310625,0.02862845,0.681305,0.10741012
2019-10-18 15:00:00,3.7120721,0.2452501,0.025318574,0.02745275,0.63881934,0.109896444
2019-10-18 18:00:00,3.4742308,0.18609548,0.04942719,0.029754635,0.52172744,0.12887754
2019-10-18 21:00:00,2.577949,0.14389086,0.102721184,0.03662666,0.3486384,0.23499544
