time,a,b,c
2019-10-16 18:00:00,6.27359,0.38084143,0.088776425
2019-10-16 21:00:00,4.9618163,0.37799007,0.0778592
2019-10-17 00:00:00,4.9341035,0.73422474,0.07225277
2019-10-17 03:00:00,4.6188416,0.6847456,0.060986206
2019-10-17 06:00:00,5.0597887,0.86608905,0.061444797
2019-10-17 09:00:00,5.2833605,1.4582535,0.05280065
2019-10-17 12:00:00,5.6055517,1.6378924,0.04577443
2019-10-17 15:00:00,5.7794633,1.523187,0.046159185
2019-10-17 18:00:00,5.148087,1.1749891,0.047532596
2019-10-17 21:00:00,4.405435,1.0730335,0.04500127
2019-10-18 00:00:00,3.8547947,0.9022929,0.05219144
2019-10-18 03:00:00,3.6422436,0.6768703,0.08395939
2019-10-18 06:00:00,3.5433109,0.70574915,0.08732336
2019-10-18 09:00:00,4.1081123,0.92144376,0.06475525
2019-10-18 12:00:00,3.8340456,1.0291792,0.04508805
2019-10-18 15:00:00,3.795485,0.91993487,0.043388728
2019-10-18 18:00:00,3.6310725,0.70774484,0.051295463
2019-10-18 21:00:00,2.9037025,0.47275892,0.06835992
2019-10-19 00:00:00,3.2332869,0.32962695,0.07483269
2019-10-19 03:00:00,3.4534874,0.2618881,0.20363325
2019-10-19 06:00:00,3.963141,0.23519753,0.24729571
2019-10-19 09:00:00,5.5562873,0.2143022,0.3290064
2019-10-19 12:00:00,5.5554857,0.21290803,0.38242605
2019-10-19 15:00:00,5.826009,0.22039577,0.35237873
2019-10-19 18:00:00,5.766734,0.23648323,0.33745816
2019-10-19 21:00:00,7.265982,0.32435206,0.32936513
2019-10-20 00:00:00,8.42079,0.3477743,0.27250233
2019-10-20 03:00:00,8.3510475,0.3294051,0.29927167
2019-10-20 06:00:00,7.438151,0.23699169,0.5340993
2019-10-20 09:00:00,6.579762,0.20471586,0.40808368
2019-10-20 12:00:00,7.9236116,0.24354671,0.5484194
2019-10-20 15:00:00,5.359667,0.21066508,1.892448
2019-10-20 18:00:00,2.2201293,0.33306268,1.2130651
2019-10-20 21:00:00,1.2549001,0.23090121,1.3559744
2019-10-21 00:00:00,1.3917788,0.18754148,1.2870347
2019-10-21 03:00:00,1.6071726,0.19765562,1.1949264
2019-10-21 06:00:00,1.4259889,0.21124123,0.992393
2019-10-21 09:00:00,1.3703238,0.20028064,0.9027809
2019-10-21 12:00:00,1.7813057,0.17608507,0.97149557
2019-10-21 15:00:00,2.7350655,0.1654521,0.93792015
2019-10-21 18:00:00,3.2876065,0.16752282,0.704586
2019-10-21 21:00:00,2.4081805,0.15516719,0.9028956
2019-10-22 00:00:00,2.5326407,0.15704045,1.0762554
2019-10-22 03:00:00,2.152493,0.14840259,1.0145959
2019-10-22 06:00:00,1.7692274,0.13481519,0.88895565
2019-10-22 09:00:00,2.3089347,0.13261168,0.74896973
2019-10-22 12:00:00,5.2547693,0.12720414,0.47480488
2019-10-22 15:00:00,6.644175,0.12010674,0.37312618
2019-10-22 18:00:00,5.2660456,0.13250877,0.5092865
2019-10-22 21:00:00,3.5328994,0.12997384,0.61334366
2019-10-23 00:00:00,3.982793,0.118921675,0.49588186
2019-10-23 03:00:00,5.0348926,0.12079073,0.38659674
2019-10-23 06:00:00,6.243329,0.12538941,0.30073857
2019-10-23 09:00:00,6.021579,0.13137607,0.26743108
2019-10-23 12:00:00,8.966097,0.16936663,0.08085982
2019-10-23 15:00:00,7.475576,0.25301382,0.04746955
2019-10-23 18:00:00,6.854399,0.19297203,0.045271568
2019-10-23 21:00:00,6.529588,0.1756317,0.07142424
2019-10-24 00:00:00,7.635335,0.11998192,0.1451527
2019-10-24 03:00:00,6.4531283,0.13072644,0.1602993
2019-10-24 06:00:00,5.0966682,0.1122202,0.14454234
2019-10-24 09:00:00,3.821838,0.11917019,0.21855035
2019-10-24 12:00:00,2.9062924,0.12089578,0.22854763
2019-10-24 15:00:00,2.5774264,0.12775654,0.22593184
2019-10-24 18:00:00,3.156646,0.1224473,0.21552028
2019-10-24 21:00:00,2.8993306,0.12482451,0.25638032
2019-10-25 00:00:00,3.183255,0.14487742,0.26173618
2019-10-25 03:00:00,3.3790195,0.14639662,0.25651976
2019-10-25 06:00:00,3.7408035,0.14243133,0.23854738
2019-10-25 09:00:00,3.5098877,0.13392039,0.24845502
2019-10-25 12:00:00,3.6680136,0.12721759,0.2334155
2019-10-25 15:00:00,4.314093,0.11712387,0.20818906
2019-10-25 18:00:00,5.077414,0.102735884,0.17893498
2019-10-25 21:00:00,5.719111,0.09011857,0.14413135
2019-10-26 00:00:00,6.0591397,0.08157055,0.1393758
2019-10-26 03:00:00,6.4339266,0.0921698,0.13943848
2019-10-26 06:00:00,6.3155866,0.08891778,0.16097072
2019-10-26 09:00:00,3.09159,0.08462185,0.29283488
2019-10-26 12:00:00,2.2685072,0.09455909,0.2501
2019-10-26 15:00:00,2.9483125,0.10353781,0.23016204
2019-10-26 18:00:00,3.455162,0.06485334,0.21863344
2019-10-26 21:00:00,3.323932,0.07079776,0.17941967
2019-10-27 00:00:00,3.967279,0.08142826,0.06283891
2019-10-27 03:00:00,4.1736684,0.062945604,0.035240907
2019-10-27 06:00:00,3.6309266,0.070421286,0.032341115
2019-10-27 09:00:00,3.1803412,0.07431634,0.029008498
2019-10-27 12:00:00,3.471401,0.07500188,0.029979812
2019-10-27 15:00:00,3.6617095,0.12683646,0.036891077
2019-10-27 18:00:00,4.5856194,0.15245773,0.04441266
2019-10-27 21:00:00,5.369421,0.13719957,0.045879748
2019-10-28 00:00:00,6.3568797,0.14448118,0.045160394
2019-10-28 03:00:00,7.7396684,0.12907676,0.05383789
2019-10-28 06:00:00,6.445234,0.05177221,0.035477217
2019-10-28 09:00:00,5.6415873,0.04815575,0.030183038
2019-10-28 12:00:00,6.2599583,0.11918243,0.039526533
2019-10-28 15:00:00,6.7854905,0.26713303,0.043719664
2019-10-28 18:00:00,6.1054335,0.16013163,0.045015007
2019-10-28 21:00:00,4.2382116,0.11815988,0.09475526
2019-10-29 00:00:00,5.8142414,0.14623542,0.069621846
2019-10-29 03:00:00,8.256475,0.23264351,0.0648218
2019-10-29 06:00:00,9.210661,0.16799806,0.14173418
2019-10-29 09:00:00,4.221917,0.106907636,0.50289536
2019-10-29 12:00:00,2.650565,0.07994148,0.70748293
2019-10-29 15:00:00,2.009556,0.07222799,0.7184336
2019-10-29 18:00:00,2.060875,0.067440115,0.5681661
2019-10-29 21:00:00,2.415055,0.08127317,0.21253082
2019-10-30 00:00:00,2.678474,0.27967975,0.077033415
2019-10-30 03:00:00,3.579033,0.28968197,0.04704169
2019-10-30 06:00:00,4.4082174,0.19579445,0.04970834
2019-10-30 09:00:00,3.6785243,0.28764772,0.06394989
2019-10-30 12:00:00,3.890466,0.29687834,0.20351991
2019-10-30 15:00:00,3.3868632,0.2673669,0.4089078
2019-10-30 18:00:00,4.060947,0.15359385,0.3662306
2019-10-30 21:00:00,3.8954797,0.15534396,0.35923243
2019-10-31 00:00:00,4.078052,0.19238865,0.35543296
2019-10-31 03:00:00,3.8810399,0.15415515,0.38683
2019-10-31 06:00:00,2.9655106,0.15393579,0.33628446
2019-10-31 09:00:00,2.224007,0.180815,0.26593342
2019-10-31 12:00:00,1.795217,0.18335944,0.29183674
2019-10-31 15:00:00,2.280763,0.17055349,0.3468985
2019-10-31 18:00:00,2.3823724,0.13865665,0.280812
2019-10-31 21:00:00,2.5384102,0.11347363,0.23146562
2019-11-01 00:00:00,3.0800672,0.10961677,0.2578325
2019-11-01 03:00:00,3.3434813,0.10210632,0.2360448
2019-11-01 06:00:00,3.7124913,0.112458676,0.26052538
2019-11-01 09:00:00,4.0279746,0.12786484,0.3072683
2019-11-01 12:00:00,3.9987977,0.13491969,0.32505953
2019-11-01 15:00:00,3.5685542,0.1631348,0.36718008
2019-11-01 18:00:00,4.0475197,0.1398655,0.41233486
2019-11-01 21:00:00,4.7661505,0.1363075,0.38320556
2019-11-02 00:00:00,5.133219,0.13870187,0.376082
2019-11-02 03:00:00,5.1257796,0.14159241,0.37011573
2019-11-02 06:00:00,6.6575255,0.1330521,0.34628582
2019-11-02 09:00:00,7.9651155,0.1316522,0.3296783
2019-11-02 12:00:00,7.603904,0.13958448,0.091677
2019-11-02 15:00:00,7.350041,0.10841928,0.05995476
2019-11-02 18:00:00,8.825197,0.0844507,0.049746986
2019-11-02 21:00:00,9.980015,0.12843715,0.0618257
2019-11-03 00:00:00,7.4029603,0.16810548,0.18520379
2019-11-03 03:00:00,3.8898427,0.22279145,0.13713704
2019-11-03 06:00:00,3.6693468,0.122889325,0.12393075
2019-11-03 09:00:00,2.1947954,0.07035681,0.3016586
2019-11-03 12:00:00,2.8063042,0.07615463,0.31830975
2019-11-03 15:00:00,3.8462396,0.0639585,0.33413166
2019-11-03 18:00:00,4.1987867,0.07263029,0.30754873
2019-11-03 21:00:00,4.2446976,0.07181931,0.28390303
2019-11-04 00:00:00,4.582249,0.07578024,0.28626126
2019-11-04 03:00:00,4.5742817,0.0839145,0.28267622
2019-11-04 06:00:00,4.365447,0.09472084,0.27987048
2019-11-04 09:00:00,4.309804,0.13483669,0.2115131
2019-11-04 12:00:00,4.3450494,0.09189272,0.23363103
2019-11-04 15:00:00,6.421881,0.08553879,0.25961483
2019-11-04 18:00:00,6.487638,0.10015282,0.22512162
2019-11-04 21:00:00,4.8491244,0.12840162,0.19744954
2019-11-05 00:00:00,7.03848,0.13540536,0.13512672
2019-11-05 03:00:00,5.0727887,0.12539527,0.093767874
2019-11-05 06:00:00,4.4906883,0.18572964,0.07898514
2019-11-05 09:00:00,5.067559,0.17759807,0.14337713
2019-11-05 12:00:00,5.6817746,0.17465684,0.13605091
2019-11-05 15:00:00,6.783853,0.1025552,0.17892544
2019-11-05 18:00:00,5.8903294,0.08953018,0.180115
2019-11-05 21:00:00,5.470484,0.10254919,0.17300238
2019-11-06 00:00:00,5.6979003,0.10137269,0.18108308
2019-11-06 03:00:00,4.7239676,0.08957251,0.17591876
2019-11-06 06:00:00,3.9690924,0.07673046,0.18759173
2019-11-06 09:00:00,3.80931,0.08242145,0.1803916
2019-11-06 12:00:00,4.088995,0.08731273,0.1843195
2019-11-06 15:00:00,3.8413455,0.09796836,0.163016
2019-11-06 18:00:00,3.1396005,0.09000639,0.25401443
2019-11-06 21:00:00,2.918576,0.09280134,0.24771963
2019-11-07 00:00:00,2.8193262,0.09902107,0.19845653
2019-11-07 03:00:00,2.804033,0.08591632,0.15070434
2019-11-07 06:00:00,2.7742772,0.0871977,0.16112433
2019-11-07 09:00:00,2.9466336,0.10074012,0.1751787
2019-11-07 12:00:00,4.273122,0.11544635,0.16479175
2019-11-07 15:00:00,4.066579,0.08876778,0.1936147
2019-11-07 18:00:00,4.679225,0.074943036,0.19744721
2019-11-07 21:00:00,5.305157,0.074588135,0.20592517
2019-11-08 00:00:00,5.7806616,0.08184942,0.20778316
2019-11-08 03:00:00,6.4066386,0.08439794,0.19128375
2019-11-08 06:00:00,7.3534155,0.08418622,0.17543255
2019-11-08 09:00:00,8.218891,0.085117124,0.23618877
2019-11-08 12:00:00,8.2376795,0.09704475,0.17321849
2019-11-08 15:00:00,7.672299,0.09355806,0.36225966
2019-11-08 18:00:00,5.163898,0.08148445,0.3423589
2019-11-08 21:00:00,3.0657241,0.07772215,0.14400631
2019-11-09 00:00:00,2.7045095,0.043483924,0.18039575
2019-11-09 03:00:00,2.7725568,0.037800055,0.18128105
2019-11-09 06:00:00,3.2743702,0.02603981,0.19385532
2019-11-09 09:00:00,2.981168,0.025109671,0.18765251
2019-11-09 12:00:00,3.0812688,0.030935954,0.19777359
2019-11-09 15:00:00,2.6188316,0.03158872,0.1905933
2019-11-09 18:00:00,2.3727384,0.031181036,0.19064052
2019-11-09 21:00:00,2.3743849,0.03151491,0.1933044
2019-11-10 00:00:00,2.1117172,0.04774217,0.14503062
2019-11-10 03:00:00,2.1469333,0.040983662,0.14217022
2019-11-10 06:00:00,2.331697,0.036411256,0.14898582
2019-11-10 09:00:00,2.7086773,0.039867595,0.1472609
2019-11-10 12:00:00,2.835769,0.04039339,0.14986457
2019-11-10 15:00:00,3.8962312,0.026568105,0.17605506
2019-11-10 18:00:00,5.6796165,0.024147637,0.14436385
2019-11-10 21:00:00,7.185597,0.045616236,0.18739623
2019-11-11 00:00:00,9.729711,0.077191606,0.19486266
2019-11-11 03:00:00,8.421532,0.07412426,0.16717994
2019-11-11 06:00:00,7.772492,0.07071458,0.3309231
2019-11-11 09:00:00,6.4895706,0.04155424,0.13660632
2019-11-11 12:00:00,4.569193,0.030467836,0.11303288
2019-11-11 15:00:00,5.260736,0.04554887,0.19084343
2019-11-11 18:00:00,5.5239005,0.05154154,0.26157716
2019-11-11 21:00:00,5.3247952,0.051700227,0.35949937
2019-11-12 00:00:00,6.216818,0.048383515,0.5044199
2019-11-12 03:00:00,6.668358,0.044468503,0.7746206
2019-11-12 06:00:00,6.890705,0.044267196,0.9466423
2019-11-12 09:00:00,7.115082,0.046171255,0.7774088
2019-11-12 12:00:00,7.4506397,0.039656892,0.83448714
2019-11-12 15:00:00,8.160844,0.031791806,0.79524136
2019-11-12 18:00:00,6.869185,0.025934692,0.5009939
2019-11-12 21:00:00,6.4692006,0.028822243,0.4306973
2019-11-13 00:00:00,6.9960046,0.031923458,0.68488145
2019-11-13 03:00:00,7.1266837,0.03907467,0.7251469
2019-11-13 06:00:00,5.6703486,0.04961714,0.423511
2019-11-13 09:00:00,5.888198,0.048348047,0.19141276
2019-11-13 12:00:00,6.37614,0.044735022,0.18432288
2019-11-13 15:00:00,6.1202655,0.045420576,0.18748327
2019-11-13 18:00:00,5.360188,0.045750074,0.19732083
2019-11-13 21:00:00,5.453232,0.04361471,0.21550353
2019-11-14 00:00:00,4.603628,0.042038765,0.24713066
2019-11-14 03:00:00,4.4742537,0.040586844,0.2540237
2019-11-14 06:00:00,5.511934,0.03664388,0.21706903
2019-11-14 09:00:00,6.8549113,0.03257643,0.16538867
2019-11-14 12:00:00,7.4630785,0.040355098,0.2044842
2019-11-14 15:00:00,7.0380054,0.0649354,0.40370324
2019-11-14 18:00:00,5.8441887,0.12466196,0.46829894
2019-11-14 21:00:00,5.6083946,0.18105626,0.5572356
2019-11-15 00:00:00,6.443328,0.2199453,0.8117171
2019-11-15 03:00:00,6.490747,0.26094565,1.7148968
2019-11-15 06:00:00,6.4156837,0.5115743,1.7323909
2019-11-15 09:00:00,3.43265,0.5653239,0.78997004
2019-11-15 12:00:00,3.9918408,0.5972228,0.7931888
2019-11-15 15:00:00,4.8339663,1.7221235,2.108719
2019-11-15 18:00:00,3.9897275,1.6565106,1.9881351
2019-11-15 21:00:00,2.6364367,0.7518572,3.412713
2019-11-16 00:00:00,2.9357169,0.47660288,3.7484822
2019-11-16 03:00:00,2.0717795,0.27754593,1.8561698
2019-11-16 06:00:00,1.1388217,0.21417846,1.3714306
